123.08168709;FBK91.05;88.86;90
123.101712036;FBK91.05;88.86;90
123.12168771;FBK91.05;88.86;90
123.141665974;FBK91.05;88.86;90
123.161660257;FBK91.05;88.86;90
123.181614669;FBK91.05;88.86;90
123.20162673;FBK91.05;88.86;90
123.2216417;FBK91.05;88.86;90
123.241746996;FBK91.05;88.86;90
123.261584832;FBK91.05;88.86;90
123.281607092;FBK91.05;88.86;90
123.301558402;FBK91.05;88.86;90
123.322170226;FBK91.05;88.86;90
123.342156867;FBK91.05;88.86;90
123.361500997;FBK91.05;88.86;90
123.381474746;FBK91.05;88.86;90
123.40146381;FBK91.05;88.86;90
123.421496936;FBK91.05;88.86;90
123.441491436;FBK91.05;88.86;90
123.461437621;FBK91.05;88.86;90
123.481414663;FBK91.05;88.86;90
123.501378499;FBK91.05;88.86;90
123.521650126;FBK91.05;88.86;90
123.541424318;FBK91.05;88.86;90
123.561340863;FBK91.05;88.86;90
123.581320463;FBK91.05;88.86;90
123.601292293;FBK91.05;88.86;90
123.62129079;FBK91.05;88.86;90
123.641374404;FBK91.05;88.86;90
123.661319215;FBK91.05;88.86;90
123.681529929;FBK91.05;88.86;90
123.701206342;FBK91.05;88.86;90
123.721563662;FBK91.05;88.86;90
123.742211186;FBK91.05;88.86;90
123.761195534;FBK91.05;88.86;90
123.781179578;FBK91.05;88.86;90
123.80115873;FBK91.05;88.86;90
123.821139193;FBK91.05;88.86;90
123.841109616;FBK91.05;88.86;90
123.861098264;FBK91.05;88.86;90
123.881396558;FBK91.05;88.86;90
123.901073898;FBK91.05;88.86;90
123.92133475;FBK91.05;88.86;90
123.941298586;FBK91.05;88.86;90
123.96107604;FBK91.05;88.86;90
123.981016598;FBK91.05;88.86;90
124.000986317;FBK91.05;88.86;90
124.020971864;FBK91.05;88.86;90
124.041299543;FBK91.05;88.86;90
124.061088828;FBK91.05;88.86;90
124.080849687;FBK91.05;88.86;90
124.10153849;FBK91.05;88.86;90
124.120876161;FBK91.05;88.86;90
124.140958816;FBK91.05;88.86;90
124.160898511;FBK91.05;88.86;90
124.180887192;FBK91.05;88.86;90
124.200838366;FBK91.05;88.86;90
124.220819116;FBK91.05;88.86;90
124.240765686;FBK91.05;88.86;90
124.260786085;FBK91.05;88.86;90
124.280788707;FBK91.05;88.86;90
124.300746372;FBK91.05;88.86;90
124.32069227;FBK91.05;88.86;90
124.340705155;FBK91.05;88.86;90
124.360698536;FBK91.05;88.86;90
124.380771813;FBK91.05;88.86;90
124.400717239;FBK91.05;88.86;90
124.420666086;FBK91.05;88.86;90
124.440592518;FBK91.05;88.86;90
124.461360113;FBK91.05;88.86;90
124.481260133;FBK91.05;88.86;90
124.501274468;FBK91.05;88.86;90
124.52081901;FBK91.05;88.86;90
124.540578559;FBK91.05;88.86;90
124.560574059;FBK91.05;88.86;90
124.580645823;FBK91.05;88.86;90
124.600546003;FBK91.05;88.86;90
124.620513428;FBK91.05;88.86;90
124.640486226;FBK91.05;88.86;90
124.660445657;FBK91.05;88.86;90
124.680430702;FBK91.05;88.86;90
124.700433589;FBK91.05;88.86;90
124.72046583;FBK91.05;88.86;90
124.741002877;FBK91.05;88.86;90
124.761085385;FBK91.05;88.86;90
124.7811151;FBK91.05;88.86;90
124.800362104;FBK91.05;88.86;90
124.820366526;FBK91.05;88.86;90
124.840341818;FBK91.05;88.86;90
124.860297892;FBK91.05;88.86;90
124.88031763;FBK91.05;88.86;90
124.90029823;FBK91.05;88.86;90
124.920247621;FBK91.05;88.86;90
124.94028031;FBK91.05;88.86;90
124.960217358;FBK91.05;88.86;90
124.980257337;FBK91.05;88.86;90
125.000236658;FBK91.05;88.86;90
125.020199319;FBK91.05;88.86;90
125.04022395;FBK91.05;88.86;90
125.060186899;FBK91.05;88.86;90
125.080149496;FBK91.05;88.86;90
125.10088876;FBK91.05;88.86;90
125.120160962;FBK91.05;88.86;90
125.140150483;FBK91.05;88.86;90
125.160097188;FBK91.05;88.86;90
125.180058378;FBK91.05;88.86;90
125.200057108;FBK91.05;88.86;90
125.220080172;FBK91.05;88.86;90
125.240023552;FBK91.05;88.86;90
125.260020172;FBK91.05;88.86;90
125.280038023;FBK91.05;88.86;90
125.299979261;FBK91.05;88.86;90
125.319907835;FBK91.05;88.86;90
125.339951492;FBK91.05;88.86;90
125.359939126;FBK91.05;88.86;90
125.379940563;FBK91.05;88.86;90
125.400057126;FBK91.05;88.86;90
125.41984199;FBK91.05;88.86;90
125.440097653;FBK91.05;88.86;90
125.46051349;FBK91.05;88.86;90
125.479797944;FBK91.05;88.86;90
125.499896152;FBK91.05;88.86;90
125.51984832;FBK91.05;88.86;90
125.539804294;FBK91.05;88.86;90
125.55978214;FBK91.05;88.86;90
125.579733796;FBK91.05;88.86;90
125.599727727;FBK91.05;88.86;90
125.619722968;FBK91.05;88.86;90
125.639719809;FBK91.05;88.86;90
125.659708495;FBK91.05;88.86;90
125.679689794;FBK91.05;88.86;90
125.699676594;FBK91.05;88.86;90
125.719672219;FBK91.05;88.86;90
125.739640344;FBK91.05;88.86;90
125.759610931;FBK91.05;88.86;90
125.779649725;FBK91.05;88.86;90
125.799566527;FBK91.05;88.86;90
125.819595089;FBK91.05;88.86;90
125.839793673;FBK91.05;88.86;90
125.860210789;FBK91.05;88.86;90
125.880147352;FBK91.05;88.86;90
125.899699039;FBK91.05;88.86;90
125.919518598;FBK91.05;88.86;90
125.939573157;FBK91.05;88.86;90
125.959492933;FBK91.05;88.86;90
125.979453191;FBK91.05;88.86;90
125.999474398;FBK91.05;88.86;90
126.019414127;FBK91.05;88.86;90
126.039451706;FBK91.05;88.86;90
126.059397991;FBK91.05;88.86;90
126.079374046;FBK91.05;88.86;90
126.099387259;FBK91.05;88.86;90
