pos_x,pos_y,current_speed,current_angle,timestep
-2.438006798876835e-05,4.49257115831311e-11,0.0,0.012130038301360592,4942.0
-2.438006798876835e-05,4.49257115831311e-11,0.0,0.012130038301360592,4943.0
-2.438006798876835e-05,4.49257115831311e-11,0.0,0.012130038301360592,4944.0
-2.438006798876835e-05,4.49257115831311e-11,0.0,0.012130038301360592,4945.0
-2.438006798876835e-05,4.49257115831311e-11,0.0,0.012130038301360592,4946.0
-2.438006798876835e-05,4.49257115831311e-11,0.0,0.012130038301360592,4947.0
-2.6818074787640293e-05,5.1026734143799306e-11,-2.438006798879579e-05,0.012130038301360592,4948.0
-2.6818074787640293e-05,5.1026734143799306e-11,0.0,0.012130038301360592,4949.0
-2.6818074787640293e-05,5.1026734143799306e-11,0.0,0.012130038301360592,4950.0
-2.6818074787640293e-05,5.1026734143799306e-11,0.0,0.012130038301360592,4951.0
-2.6818074787640293e-05,5.1026734143799306e-11,0.0,0.012130038301360592,4952.0
-2.6818074787640293e-05,5.1026734143799306e-11,0.0,0.012130038301360592,4953.0
-2.6818074787640293e-05,5.1026734143799306e-11,0.0,0.012130038301360592,4954.0
-2.6818074787640293e-05,5.1026734143799306e-11,0.0,0.012130038301360592,4955.0
-2.6818074787640293e-05,5.1026734143799306e-11,0.0,0.012130038301360592,4956.0
-2.6818074787640293e-05,5.1026734143799306e-11,0.0,0.012130038301360592,4957.0
-3.169408838537813e-05,6.544733292355455e-11,-4.876013597759158e-05,0.012130038301360592,4958.0
-3.169408838537813e-05,6.544733292355455e-11,0.0,0.012130038301360592,4959.0
-3.169408838537813e-05,6.544733292355455e-11,0.0,0.012130038301360592,4960.0
-3.169408838537813e-05,6.544733292355455e-11,0.0,0.012130038301360592,4961.0
-3.169408838537813e-05,6.544733292355455e-11,0.0,0.012130038301360592,4962.0
-3.169408838537813e-05,6.544733292355455e-11,0.0,0.012130038301360592,4963.0
-3.4132095184245344e-05,7.321227072803634e-11,-2.438006798879579e-05,0.012130038301360592,4964.0
-3.4132095184245344e-05,7.321227072803634e-11,0.0,0.012130038301360592,4965.0
-3.4132095184245344e-05,7.321227072803634e-11,0.0,0.012130038301360592,4966.0
-4.38841223796819e-05,1.1314623657961285e-10,-9.752027195518316e-05,0.012130038301360592,4967.0
-4.38841223796819e-05,1.1314623657961285e-10,0.0,0.012130038301360592,4968.0
-4.38841223796819e-05,1.1314623657961285e-10,0.0,0.012130038301360592,4969.0
-4.38841223796819e-05,1.1314623657961285e-10,0.0,0.012130038301360592,4970.0
-5.363614957507807e-05,1.6195441706480568e-10,-9.752027195518316e-05,0.012130038301360592,4971.0
-5.363614957507807e-05,1.6195441706480568e-10,0.0,0.012130038301360592,4972.0
-5.851216317276455e-05,1.885770609657988e-10,-4.876013597759158e-05,0.012130038301360592,4973.0
-5.851216317276455e-05,1.885770609657988e-10,0.0,0.012130038301360592,4974.0
-5.851216317276455e-05,1.885770609657988e-10,0.0,0.012130038301360592,4975.0
-5.851216317276455e-05,1.885770609657988e-10,0.0,0.012130038301360592,4976.0
-5.851216317276455e-05,1.885770609657988e-10,0.0,0.012130038301360592,4977.0
-6.826419036808502e-05,2.50696563401338e-10,-9.752027195518316e-05,0.012130038301360592,4978.0
-6.826419036808502e-05,2.50696563401338e-10,0.0,0.012130038301360592,4979.0
-7.314020396573061e-05,2.839748682774864e-10,-4.876013597759158e-05,0.012130038301360592,4980.0
-7.314020396573061e-05,2.839748682774864e-10,0.0,0.012130038301360592,4981.0
-7.314020396573061e-05,2.839748682774864e-10,0.0,0.012130038301360592,4982.0
-7.801621756336056e-05,3.1947172681200677e-10,-4.876013597759158e-05,0.012130038301360592,4983.0
-8.289223116097386e-05,3.571871390048917e-10,-4.876013597759158e-05,0.012130038301360592,4984.0
-8.289223116097386e-05,3.571871390048917e-10,0.0,0.012130038301360592,4985.0
-8.289223116097386e-05,3.571871390048917e-10,0.0,0.012130038301360592,4986.0
-8.289223116097386e-05,3.571871390048917e-10,0.0,0.012130038301360592,4987.0
-8.77682447585695e-05,3.971211048561334e-10,-4.876013597759158e-05,0.012130038301360592,4988.0
-8.77682447585695e-05,3.971211048561334e-10,0.0,0.012130038301360592,4989.0
-9.752027195368405e-05,4.858632511919933e-10,-9.752027195518316e-05,0.012130038301360592,4990.0
-9.752027195368405e-05,4.858632511919933e-10,0.0,0.012130038301360592,4991.0
-9.752027195368405e-05,4.858632511919933e-10,0.0,0.012130038301360592,4992.0
-0.00010239628555122062,5.324528780182539e-10,-4.876013597759158e-05,0.012130038301360592,4993.0
-0.0001072722991487355,5.812610585028354e-10,-4.876013597759158e-05,0.012130038301360592,4994.0
-0.0001072722991487355,5.812610585028354e-10,0.0,0.012130038301360592,4995.0
-0.0001072722991487355,5.812610585028354e-10,0.0,0.012130038301360592,4996.0
-0.00011214831274622766,6.322877926457278e-10,-4.876013597759158e-05,0.012130038301360592,4997.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,4998.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,4999.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,5000.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,5001.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,5002.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,5003.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,5004.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,5005.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,5006.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,5007.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,5008.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,5009.0
-0.00011214831274622766,6.322877926457278e-10,0.0,0.012130038301360592,5010.0
-0.00011458631954496788,6.583557981317497e-10,-2.438006798879579e-05,0.012130038301360592,5011.0
-0.00011458631954496788,6.583557981317497e-10,0.0,0.012130038301360592,5012.0
-0.00012433834673982982,7.715020347089942e-10,-9.752027195518316e-05,0.012130038301360592,5013.0
-0.00012433834673982982,7.715020347089942e-10,0.0,0.012130038301360592,5014.0
-0.00012433834673982982,7.715020347089942e-10,0.0,0.012130038301360592,5015.0
-0.00012433834673982982,7.715020347089942e-10,0.0,0.012130038301360592,5016.0
-0.00012921436033723455,8.302937066558883e-10,-4.876013597759158e-05,0.012130038301360592,5017.0
-0.00012921436033723455,8.302937066558883e-10,0.0,0.012130038301360592,5018.0
-0.00012921436033723455,8.302937066558883e-10,0.0,0.012130038301360592,5019.0
-0.00012921436033723455,8.302937066558883e-10,0.0,0.012130038301360592,5020.0
-0.00012921436033723455,8.302937066558883e-10,0.0,0.012130038301360592,5021.0
-0.00013409037393461202,8.913039322610421e-10,-4.876013597759158e-05,0.012130038301360592,5022.0
-0.00013409037393461202,8.913039322610421e-10,0.0,0.012130038301360592,5023.0
-0.00013409037393461202,8.913039322610421e-10,0.0,0.012130038301360592,5024.0
-0.00013409037393461202,8.913039322610421e-10,0.0,0.012130038301360592,5025.0
-0.00013896638753196122,9.545327115244429e-10,-4.876013597759158e-05,0.012130038301360592,5026.0
-0.00013896638753196122,9.545327115244429e-10,0.0,0.012130038301360592,5027.0
-0.00013896638753196122,9.545327115244429e-10,0.0,0.012130038301360592,5028.0
-0.00013896638753196122,9.545327115244429e-10,0.0,0.012130038301360592,5029.0
-0.00013896638753196122,9.545327115244429e-10,0.0,0.012130038301360592,5030.0
-0.00013896638753196122,9.545327115244429e-10,0.0,0.012130038301360592,5031.0
-0.00014140439433062856,9.867017395707026e-10,-2.438006798879579e-05,0.012130038301360592,5032.0
-0.00014140439433062856,9.867017395707026e-10,0.0,0.012130038301360592,5033.0
-0.00014628040792793347,1.0532583493214493e-09,-4.876013597759158e-05,0.012130038301360592,5034.0
-0.00014628040792793347,1.0532583493214493e-09,0.0,0.012130038301360592,5035.0
-0.00014628040792793347,1.0532583493214493e-09,0.0,0.012130038301360592,5036.0
-0.00014628040792793347,1.0532583493214493e-09,0.0,0.012130038301360592,5037.0
-0.0001511564215252076,1.1220335127304095e-09,-4.876013597759158e-05,0.012130038301360592,5038.0
-0.0001560324351224499,1.1930272297975689e-09,-4.876013597759158e-05,0.012130038301360592,5039.0
-0.00016090844871965944,1.2662395005229128e-09,-4.876013597759158e-05,0.012130038301360592,5040.0
-0.00016578446231683513,1.3416703249064261e-09,-4.876013597759158e-05,0.012130038301360592,5041.0
-0.00017553648951104523,1.5014061883060357e-09,-9.752027195518316e-05,0.012130038301360592,5042.0
-0.00017553648951104523,1.5014061883060357e-09,0.0,0.012130038301360592,5043.0
-0.00017553648951104523,1.5014061883060357e-09,0.0,0.012130038301360592,5044.0
-0.00017553648951104523,1.5014061883060357e-09,0.0,0.012130038301360592,5045.0
-0.00017553648951104523,1.5014061883060357e-09,0.0,0.012130038301360592,5046.0
-0.00017553648951104523,1.5014061883060357e-09,0.0,0.012130038301360592,5047.0
-0.00017553648951104523,1.5014061883060357e-09,0.0,0.012130038301360592,5048.0
-0.00017553648951104523,1.5014061883060357e-09,0.0,0.012130038301360592,5049.0
-0.00018528851670510593,1.670016266338096e-09,-9.752027195518316e-05,0.012130038301360592,5050.0
