timestep,speed_front_right,current_front_right,acceleration_front_right,speed_rear_right,current_rear_right,acceleration_rear_right,speed_rear_left,current_rear_left,acceleration_rear_left,speed_front_left,current_front_left,acceleration_front_left,angle_front,angle_rear
5749.0,-732.0,-176.0,1.0,-741.5,-433.5,1.0,868.0,581.3333333333334,1.0,862.25,693.25,1.0,-8.282499999999999,8.282499999999999
5750.0,-735.25,-340.25,1.0,-744.75,-374.75,1.0,870.5,580.9285714285714,1.0,851.0,547.0,1.0,-8.463750000000001,8.4525
5751.0,-734.5,-336.5,1.0,-736.5,-215.5,1.0,873.0,580.5238095238095,1.0,849.0,686.5,1.0,-8.44,8.44
5752.0,-735.0,-297.75,1.0,-736.5,-313.5,1.0,875.5,580.1190476190476,1.0,869.5,657.75,1.0,-8.44,8.44
5753.0,-738.5,-399.5,1.0,-738.0,-213.75,1.0,878.0,579.7142857142857,1.0,861.0,707.5,1.0,-8.44,8.44
5754.0,-741.0,-233.5,1.0,-751.0,-280.5,1.0,880.5,579.3095238095239,1.0,870.5,700.75,1.0,-8.44,8.44
5755.0,-744.75,-242.25,1.0,-769.25,-429.25,1.0,883.0,578.9047619047619,1.0,868.0,776.0,1.0,-8.44,8.44
5756.0,-745.0,-363.0,1.0,-771.5,-500.5,1.0,885.5,578.5,1.0,869.25,702.75,1.0,-8.44,8.44
5757.0,-735.25,-315.0,1.0,-767.5,-550.0,1.0,877.75,476.75,1.0,865.0,719.5,1.0,-8.4925,8.425
5758.0,-745.0,-366.0,1.0,-765.75,-442.75,1.0,870.0,375.0,1.0,871.0,559.5,1.0,-8.44,8.35
5759.0,-736.75,-362.25,1.0,-755.0,-424.0,1.0,866.5,403.9,1.0,870.25,525.5,1.0,-8.44,8.35
5760.0,-737.0,-209.0,1.0,-748.5,-307.0,1.0,863.0,432.8,1.0,879.5,722.5,1.0,-8.44,8.35
5761.0,-733.5,-356.5,1.0,-740.5,-197.0,1.0,859.5,461.7,1.0,869.5,646.0,1.0,-8.44,8.35
5762.0,-738.0,-329.25,1.0,-749.75,-193.5,1.0,856.0,490.6,1.0,868.0,879.5,1.0,-8.45625,8.377500000000001
5763.0,-744.5,-479.5,1.0,-755.5,-362.0,1.0,852.5,519.5,1.0,856.75,792.25,1.0,-8.344999999999999,8.2775
5764.0,-742.0,-487.75,1.0,-764.0,-554.5,1.0,849.0,548.4,1.0,857.0,586.5,1.0,-8.01375,7.90125
